,STATISTA,WORLDOMETERS,,,,,,,,,,,,,
COUNTRY,NUMBER OF USERS -2022 (in millions),Population (2023),,,,,,,,,,,,,
China,1021.96,"1,439,323,776",,,,,,,,,,,,,
India,775.47,"1,380,004,385",,,,,,,,,,,,,
United States,302.25,"331,002,651",,,,,,,,,,,,,
Indonesia,217.53,"273,523,625",,,,,,,,,,,,,
Brazil,165.45,"212,559,417",,,,,,,,,,,,,
Russia,115.05,"145,934,462",,,,,,,,,,,,,
Japan,101.98,"126,476,461",,,,,,,,,,,,,
Mexico,98.21,"128,932,753",,,,,,,,,,,,,
Philippines,84.07,"109,581,078",,,,,,,,,,,,,
Vietnam,72.29,"97,338,579",,,,,,,,,,,,,
Turkey,67.11,"84,339,067",,,,,,,,,,,,,
United Kingdom,61.67,"67,886,011",,,,,,,,,,,,,
Germany,60.88,"83,783,942",,,,,,,,,,,,,
Thailand,56.27,"69,799,978",,,,,,,,,,,,,
France,48.71,"65,273,511",,,,,,,,,,,,,
South Korea,46.09,"51,269,185",,,,,,,,,,,,,
Italy,43.18,"60,461,826",,,,,,,,,,,,,
Nigeria,38.47,"206,139,589",,,,,,,,,,,,,
Bangladesh,24.49,"164,689,383",,,,,,,,,,,,,
